,BAC Return,C Return,GS Return,JPM Return,MS Return,WFC Return
2006-01-04,-0.010620220900594779,-0.01846216271048884,-0.01381236905408556,-0.014182632495645664,0.0006859886811867444,-0.011598746081504574
2006-01-05,0.0012881064834693312,0.004960727573377399,-0.0003934219844204945,0.003028773346794633,0.002742073693230429,-0.001110053916904552
2006-01-06,-0.0015008576329330614,0.0,0.01416876574307313,0.007045797684952282,0.0010254657323534033,0.005873948245753269
2006-01-09,0.0006441915396178111,-0.004730563554092848,0.012030425333747097,0.0162418790604697,0.01058562403961072,-0.00015782828282828731
2006-01-10,-0.008369098712446399,0.0030998140111593298,0.012577651660403477,0.0014752889107449985,0.0005068423720222537,-0.0007892659826361781
2006-01-11,-0.00238043713481928,0.0090646889163577,-0.0004544421722335601,-0.0007365578197886524,0.005910165484633634,0.005213270142180093
2006-01-12,-0.006507592190889477,0.0010208248264598208,0.0021216943244677378,-0.01842751842751844,-0.001678697330871226,-0.011629734402011649
2006-01-13,0.0,-0.002243524372832928,0.007637051039697473,-0.00075093867334175,-0.0015133680847485564,0.005724280489743938
2006-01-17,-0.01069868995633172,-0.010016353229762909,-0.005027765270898876,-0.0052605210420841875,-0.009599191647019167,-0.010276679841897174
2006-01-18,-0.0011035091591261592,-0.0010324179227750863,-0.005581114714533597,-0.009065726517250017,-0.0039108995068866115,0.011821086261980973
2006-01-19,-0.002651347768448886,-0.009094667217858676,0.014941221084565859,-0.007369758576874164,0.013144417890064819,-0.011525102620776773
2006-01-20,-0.021045635799734175,-0.046933667083854824,-0.01778508444178739,-0.025857654889913095,-0.02527379949452402,-0.01772879731672261
2006-01-23,-0.005204797465489852,0.006784854453928624,0.010879488740109577,0.005781865965834632,0.010890233362143453,0.0017886178861787894
2006-01-24,0.006369426751592355,0.0002173913043477249,0.000978399939790764,-0.004180820486020531,0.003590971272229737,-0.0003246226261970353
2006-01-25,0.008815551537070476,0.004781569224081794,0.004210526315789442,0.009708737864077666,0.008178565343329502,0.006656924825458654
2006-01-26,0.006049742325789698,0.016872160934458202,0.02875112309074579,0.028846153846153966,0.01352036504985632,0.00919354838709685
2006-01-27,-0.0022271714922049712,-0.0029780897681344065,0.011208151382823717,0.004041424602172272,0.013506753376688385,0.0020776730062330717
2006-01-30,-0.0071428571428571175,-0.0010667804565819283,0.006693536778465514,0.002515723270440251,-0.0018098058571898168,-0.003668261562998487
2006-01-31,-0.005620503597122295,-0.005126014523707867,0.009866304425538042,-0.0025094102885822034,0.012856436459535159,-0.0017608452056987467
2006-02-01,-0.006330544879041278,-0.005367110347788806,0.0032566371681417294,0.003270440251572415,0.0061838893409276174,-0.008338678640153918
2006-02-02,-0.011604095563140016,-0.02482192963522556,0.005715898666290409,0.002758274824473439,-0.009057092026524272,-0.008732212160414088
2006-02-03,-0.008057090239410591,-0.0026560424966799445,0.001543642997474004,-0.011502875718929717,0.0027746042108698354,-0.004241435562805873
2006-02-06,0.0064980273845438585,0.0024411895250777693,0.0005604595768529119,-0.0022767518340501836,0.004720052083333259,0.0001638269986894425
2006-02-07,0.002766889554991936,-0.002656630506973734,-0.023386080380899066,-0.004563894523326617,-0.01943949457314098,0.0013104013104014989
2006-02-08,0.004138882501724561,0.006881243063262987,0.01190134786349284,0.008660213958227247,0.012225342805220585,0.0032717160150497193
2006-02-09,0.0036638424547743575,0.009479717813051236,-0.00205469746351139,0.004292929292929237,-0.001468908111637024,-0.0016305233980107303
2006-02-10,0.002053388090349051,0.003712601004586258,-0.00028399006034784957,0.0037716872014079694,-0.014220333442301336,0.00816593173281066
2006-02-13,-0.005009107468123886,-0.006092254134029584,-0.0082380512747674,-0.0037575150300600546,-0.008290499088045133,-0.0012959663048760506
2006-02-14,0.010526315789473495,0.009632224168126147,0.015252416756176057,0.0082977118430978,0.004347099147299804,0.016220600162206056
2006-02-15,0.004528985507246341,0.00281873373807473,0.023698688108336752,0.005486284289276888,0.013151323455967923,0.013407821229050265
2006-02-16,0.007439134355274879,0.004108108108108022,0.005236323549676403,0.012400793650793718,0.007229707525468143,0.007245235470152878
2006-02-17,-0.0006712911165809299,-0.00430663221360883,-0.002467443454420959,-0.000979911807937217,-0.007993474714518722,-0.005316653635652924
2006-02-21,-0.0024630541871920597,-0.0015138408304498085,-0.01436031331592691,-0.0019617459538989745,-0.0006577865482650935,-0.001572079861656972
2006-02-22,0.011896745230078665,0.015377951050465688,0.014499825723248705,0.017444717444717206,0.013328945203225251,0.01385608565580232
2006-02-23,0.006433007985803041,-0.0017064846416383617,-0.010788153645296505,-0.007244626901714457,-0.011854498213705655,0.0
2006-02-24,0.0077143486885606904,0.0010683760683760646,0.0013892747985551068,0.013378739965944852,-0.0003286770747741308,0.0027954651343375936
2006-02-27,0.00568678915135612,-0.0014941302027747794,-0.002358490566037763,-0.0019203072491598139,-0.0014795331251027388,-0.0012389654638376157
2006-02-28,-0.00282731622444532,-0.00876442924326648,-0.017591433736615203,-0.010582010582010581,-0.01778070464273962,-0.0044968212125909846
2006-03-01,-0.005452562704471142,0.0034505067931853706,0.013164413617382742,0.01191054934370439,0.007877975192759124,0.0076323987538939875
2006-03-02,-0.009868421052631637,-0.010315925209542276,0.005937827453719846,0.0007206341580590081,-0.005654415433228088,-0.013139588808161906
2006-03-03,0.0008859357696566761,-0.002823018458197546,0.01388888888888884,-0.0016802688430147539,-0.0011707643418631397,-0.0003132832080201542
2006-03-06,0.0004425757911044048,0.003702090592334617,-0.0067123287671232434,-0.0038470786246694866,0.0033489618218351946,-0.001566906925728584
